meth;item;repl;y
Metodo y;127;1;68.5
Metodo x;128;1;45.6
Metodo y;128;1;37.5
Metodo x;129;1;46
Metodo y;129;1;55.9
Metodo x;130;1;46
Metodo y;130;1;65.6
Metodo x;131;1;46.2
Metodo y;131;1;40.6
Metodo x;132;1;46.6
Metodo y;132;1;37
Metodo x;133;1;46.9
Metodo y;133;1;58.1
Metodo x;134;1;47
Metodo y;134;1;35.6
Metodo x;135;1;47
Metodo y;135;1;55
Metodo x;136;1;47
Metodo y;136;1;57.5
Metodo x;137;1;47.2
Metodo y;137;1;43.4
Metodo x;138;1;48
Metodo y;138;1;61.3
Metodo x;139;1;49
Metodo y;139;1;48.2
Metodo x;140;1;49.2
Metodo y;140;1;43.8
Metodo x;141;1;49.3
Metodo y;141;1;40.1
Metodo x;142;1;50.2
Metodo y;142;1;53.5
Metodo x;143;1;50.4
Metodo y;143;1;50.3
Metodo x;144;1;50.9
Metodo y;144;1;60.4
Metodo x;145;1;51.3
Metodo y;145;1;59.9
Metodo x;146;1;52
Metodo y;146;1;44.3
Metodo x;147;1;52
Metodo y;147;1;51.6
Metodo x;148;1;53.1
Metodo y;148;1;54.3
Metodo x;149;1;53.4
Metodo y;149;1;70.9
Metodo x;150;1;53.8
Metodo y;150;1;61.3
Metodo x;151;1;54.2
Metodo y;151;1;48.2
Metodo x;152;1;54.3
Metodo y;152;1;58
Metodo x;153;1;55.9
Metodo y;153;1;80.7
Metodo x;154;1;56.1
Metodo y;154;1;56.5
Metodo x;155;1;57
Metodo y;155;1;67
Metodo x;156;1;58
Metodo y;156;1;69
Metodo x;157;1;58.1
Metodo y;157;1;57.4
Metodo x;158;1;58.2
Metodo y;158;1;40.1
Metodo x;159;1;61.3
Metodo y;159;1;63.4
Metodo x;160;1;62.1
Metodo y;160;1;47.2
Metodo x;161;1;62.5
Metodo y;161;1;71.1
Metodo x;162;1;65
Metodo y;162;1;72.3
Metodo x;163;1;65.2
Metodo y;163;1;94.4
Metodo x;164;1;66.2
Metodo y;164;1;66.4
Metodo x;165;1;68.3
Metodo y;165;1;51.7
Metodo x;166;1;69.3
Metodo y;166;1;33.7
Metodo x;167;1;70.6
Metodo y;167;1;64.2
Metodo x;168;1;71.3
Metodo y;168;1;63.8
Metodo x;169;1;73
Metodo y;169;1;71.1
Metodo x;170;1;74.8
Metodo y;170;1;51.6
Metodo x;171;1;75.2
Metodo y;171;1;74.4
Metodo x;172;1;78.1
Metodo y;172;1;99.4
Metodo x;173;1;78.3
Metodo y;173;1;82.9
Metodo x;174;1;79.8
Metodo y;174;1;80.6
Metodo x;175;1;80.3
Metodo y;175;1;75.8
Metodo x;176;1;80.4
Metodo y;176;1;110.5
Metodo x;177;1;84.1
Metodo y;177;1;66.8
Metodo x;178;1;84.4
Metodo y;178;1;71.8
Metodo x;179;1;86.4
Metodo y;179;1;95.8
Metodo x;180;1;87.2
Metodo y;180;1;98.4
Metodo x;181;1;87.4
Metodo y;181;1;98.2
Metodo x;182;1;87.4
Metodo y;182;1;98.2
Metodo x;183;1;91.1
Metodo y;183;1;60.3
Metodo x;184;1;95.2
Metodo y;184;1;122.5
Metodo x;185;1;100
Metodo y;185;1;99.8
Metodo x;186;1;104
Metodo y;186;1;85
Metodo x;187;1;114.3
Metodo y;187;1;107.6
Metodo x;188;1;115.4
Metodo y;188;1;110.2
Metodo x;189;1;156
Metodo y;189;1;152
